DATA,DATA,ESTADO,CIDADE,CONFIRMADOS,FATAIS
2020-02-25 00:00:00,2020-02-25 00:00:00,SP,SÃO PAULO,1,0
2020-02-26 00:00:00,2020-02-26 00:00:00,SP,SÃO PAULO,1,0
2020-02-27 00:00:00,2020-02-27 00:00:00,SP,SÃO PAULO,1,0
2020-02-28 00:00:00,2020-02-28 00:00:00,SP,SÃO PAULO,2,0
2020-02-29 00:00:00,2020-02-29 00:00:00,SP,SÃO PAULO,2,0
2020-03-01 00:00:00,2020-03-01 00:00:00,SP,SÃO PAULO,2,0
2020-03-02 00:00:00,2020-03-02 00:00:00,SP,SÃO PAULO,2,0
2020-03-03 00:00:00,2020-03-03 00:00:00,SP,SÃO PAULO,2,0
2020-03-04 00:00:00,2020-03-04 00:00:00,SP,SÃO PAULO,3,0
2020-03-05 00:00:00,2020-03-05 00:00:00,RJ,BARRA MANSA,1,0
2020-03-05 00:00:00,2020-03-05 00:00:00,SP,SÃO PAULO,6,0
2020-03-06 00:00:00,2020-03-06 00:00:00,BA,FEIRA DE SANTANA,1,0
2020-03-06 00:00:00,2020-03-06 00:00:00,ES,INDEFINIDA,1,0
2020-03-06 00:00:00,2020-03-06 00:00:00,RJ,BARRA MANSA,1,0
2020-03-06 00:00:00,2020-03-06 00:00:00,RJ,RIO DE JANEIRO,1,0
2020-03-06 00:00:00,2020-03-06 00:00:00,SP,INDEFINIDA,4,0
2020-03-06 00:00:00,2020-03-06 00:00:00,SP,SÃO PAULO,6,0
2020-03-07 00:00:00,2020-03-07 00:00:00,BA,FEIRA DE SANTANA,2,0
2020-03-07 00:00:00,2020-03-07 00:00:00,DF,BRASÍLIA,1,0
2020-03-07 00:00:00,2020-03-07 00:00:00,ES,INDEFINIDA,1,0
2020-03-07 00:00:00,2020-03-07 00:00:00,RJ,BARRA MANSA,1,0
2020-03-07 00:00:00,2020-03-07 00:00:00,RJ,RIO DE JANEIRO,1,0
2020-03-07 00:00:00,2020-03-07 00:00:00,SP,SANTANA DE PARNAÍBA,1,0
2020-03-07 00:00:00,2020-03-07 00:00:00,SP,SÃO PAULO,12,0
2020-03-08 00:00:00,2020-03-08 00:00:00,AL,MACEIÓ,1,0
2020-03-08 00:00:00,2020-03-08 00:00:00,BA,FEIRA DE SANTANA,2,0
2020-03-08 00:00:00,2020-03-08 00:00:00,DF,BRASÍLIA,1,0
2020-03-08 00:00:00,2020-03-08 00:00:00,ES,INDEFINIDA,1,0
2020-03-08 00:00:00,2020-03-08 00:00:00,MG,DIVINÓPOLIS,1,0
2020-03-08 00:00:00,2020-03-08 00:00:00,RJ,BARRA MANSA,1,0
2020-03-08 00:00:00,2020-03-08 00:00:00,RJ,RIO DE JANEIRO,2,0
2020-03-08 00:00:00,2020-03-08 00:00:00,SP,SANTANA DE PARNAÍBA,1,0
2020-03-08 00:00:00,2020-03-08 00:00:00,SP,SÃO PAULO,15,0
2020-03-09 00:00:00,2020-03-09 00:00:00,AL,MACEIÓ,1,0
2020-03-09 00:00:00,2020-03-09 00:00:00,BA,FEIRA DE SANTANA,2,0
2020-03-09 00:00:00,2020-03-09 00:00:00,DF,BRASÍLIA,1,0
2020-03-09 00:00:00,2020-03-09 00:00:00,ES,INDEFINIDA,1,0
2020-03-09 00:00:00,2020-03-09 00:00:00,MG,DIVINÓPOLIS,1,0
2020-03-09 00:00:00,2020-03-09 00:00:00,RJ,BARRA MANSA,1,0
2020-03-09 00:00:00,2020-03-09 00:00:00,RJ,RIO DE JANEIRO,2,0
2020-03-09 00:00:00,2020-03-09 00:00:00,SP,SANTANA DE PARNAÍBA,1,0
2020-03-09 00:00:00,2020-03-09 00:00:00,SP,SÃO PAULO,15,0
2020-03-10 00:00:00,2020-03-10 00:00:00,AL,MACEIÓ,1,0
2020-03-10 00:00:00,2020-03-10 00:00:00,BA,FEIRA DE SANTANA,2,0
2020-03-10 00:00:00,2020-03-10 00:00:00,DF,BRASÍLIA,1,0
